"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Baden-Baden,Stadtkreis,8211,21,11%,21,,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,20/03/2020 23:47:51,23,,,,,21.03.2020 14:17,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,@MKayCedar,2,,,0,0,21,,,28 (muss mit Rastatt passen),,,,,,,,8,1.095238095
Biberach,Landkreis,8426,55,0%,55,,https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020/detailansicht-2020/article/corona-teilnehmer-einer-gemeinderatssitzung-positiv-getestet.html,https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020/detailansicht-2020/article/corona-teilnehmer-einer-gemeinderatssitzung-positiv-getestet.html,20/03/2020 22:04:48,55,,,,,,,,0,,,0,0,55,,,,,,,,,,,8,1
Böblingen,Landkreis,8115,125,19%,125,,https://www.krzbb.de/krz_50_111859080-13-_Corona-Oeffentliches-Leben-im-Kreis-Boeblingen-wird-weiter-eingeschraenkt.html,https://www.krzbb.de/krz_50_111859080-13-_Corona-Oeffentliches-Leben-im-Kreis-Boeblingen-wird-weiter-eingeschraenkt.html,20/03/2020 23:47:51,182,4,,,,21.03.2020 14:23,https://www.lrabb.de/coronavirus,@MKayCedar,57,,,0,0,125,,,,,,,,,,,8,1.456
Bodenseekreis,Landkreis,8435,75,0%,75,,https://www.swr.de/swraktuell/baden-wuerttemberg/friedrichshafen/coronafaelle-bodensee-oberschwaben-100.html,https://www.bodenseekreis.de/de/soziales-gesundheit/gesundheit/infektionsschutz/infektionskrankheiten/corona-virus/,20/03/2020 22:04:48,76,,327,,,21.03.2020 14:26,https://www.bodenseekreis.de/de/soziales-gesundheit/gesundheit/infektionsschutz/infektionskrankheiten/corona-virus/,@MKayCedar,1,,,0,0,75,,,,,,,,,,,8,1.013333333
Breisgau-Hochschwarzwald,Landkreis,8315,145,15%,145,145,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,20/03/2020 07:00:00,173,,,,,21.03.2020 14:27,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,@MKayCedar,28,,,0,0,145,,,,,,,,,,,8,1.193103448
Calw,Landkreis,8235,113,23%,113,,"https://www.kreis-calw.de/Schnellnavigation/Startseite/19-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12277.1","https://www.kreis-calw.de/Schnellnavigation/Startseite/Zehn-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12274.1",20/03/2020 22:04:48,113,,,,1,,,,0,,,0,0,113,,,,,,,,,,,8,1
Emmendingen,Landkreis,8316,110,10%,110,,https://www.landkreis-emmendingen.de/aktuelles/nachrichten-aus-dem-landkreis/?tx_hwnews_hwnews%5BnewsartikelId%5D=682&tx_hwnews_hwnews%5Baction%5D=show&tx_hwnews_hwnews%5Bcontroller%5D=Newsartikel&cHash=80a38d6febd9dd1cf9d2619f41901d1c,https://www.landkreis-emmendingen.de/aktuelles/nachrichten-aus-dem-landkreis/?tx_hwnews_hwnews%5BnewsartikelId%5D=678&tx_hwnews_hwnews%5BcurrentPage%5D=1&tx_hwnews_hwnews%5Baction%5D=show&tx_hwnews_hwnews%5Bcontroller%5D=Newsartikel&cHash=aab4f31affa2b99c5b9059e772a932e4,20/03/2020 23:47:52,110,,,,4,,,,0,,,0,0,110,,,,,,,,,,,8,1
Enzkreis,Landkreis,8236,30,43%,30,,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",20/03/2020 20:26:00,30,,,,,,,,0,,,0,0,30,,,,,,,,,,,8,1
Esslingen,Landkreis,8116,360,54%,360,,https://www.landkreis-esslingen.de/start/kultur/caz+stark+ueberlastet.html,https://www.landkreis-esslingen.de/start/kultur/caz+stark+ueberlastet.html,20/03/2020 23:47:52,360,,,,2,,,,0,,,0,0,360,,,,,,,,,,,8,1
Freiburg im Breisgau,Stadtkreis,8311,158,31%,158,158,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,20/03/2020 07:00:00,195,,,,,21.03.2020 14:27,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,@MKayCedar,37,,,0,0,158,,,,,,,,,,,8,1.234177215
Freudenstadt,Landkreis,8237,16,14%,16,,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/coronavirus.html,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/coronavirus.html,20/03/2020 22:04:48,16,,13,3,,,,,0,,,0,0,16,,,,,,,,,,,8,1
Göppingen,Landkreis,8117,110,9%,110,,https://www.landkreis-goeppingen.de/start/_Aktuelles/coronavirus.html,https://filstalwelle.de/shortnews/2020-03-18-landkreis-goeppingen-81-personen-mit-corna-virus-infiziert,20/03/2020 23:47:51,110,,,10,1,,,,0,,,0,0,110,,,,,,,,,,,8,1
Heidelberg,Stadtkreis,8221,66,16%,66,,https://www.heidelberg.de/hd/corona-virus_+die+lage+in+heidelberg.html,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",20/03/2020 22:04:48,66,,218,,,,,,0,,,0,0,66,,,,,,,,,,,8,1
Heidenheim,Landkreis,8135,50,25%,50,,https://www.info-corona-lrahdh.de/startseite,https://www.info-corona-lrahdh.de/startseite,20/03/2020 23:47:51,50,3,,,,,,,0,,,0,0,50,,,,,,,,,,,8,1
Heilbronn,Stadtkreis,8121,20,5%,20,,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,20/03/2020 23:47:51,20,,,,1,,,,0,,,0,0,20,,,,,,,,,,,8,1
Heilbronn,Landkreis,8125,135,19%,135,,https://www.landkreis-heilbronn.de/informationen-zum-coronavirus.44148.htm,https://www.landkreis-heilbronn.de/informationen-zum-coronavirus.44148.htm,20/03/2020 23:47:52,135,5,,,2,,,,0,,,0,0,135,,,,,,,,,,,8,1
Hohenlohekreis,Landkreis,8126,182,2%,182,,https://www.corona-im-hok.de/,https://www.hohenlohekreis.de/index.php?id=291&publish[id]=1110500&publish[start]=,20/03/2020 23:47:51,182,,,,1,,,,0,,,0,0,182,,,,,,,,,,,8,1
Karlsruhe,Stadtkreis,8212,57,4%,57,57,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,20/03/2020 10:55:00,60,4,,,,20/03/2020 10:55:00,https://corona.karlsruhe.de/aktuell/offiziell-bestaetigte-coronafaelle-im-stadt-und-landkreis-karlsruhe,,3,@LunaticMax,,0,0,57,,,,,,,,,,,8,1.052631579
Karlsruhe,Landkreis,8215,151,53%,151,151,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,20/03/2020 10:55:00,171,6,,,,20/03/2020 10:55:00,https://corona.karlsruhe.de/aktuell/offiziell-bestaetigte-coronafaelle-im-stadt-und-landkreis-karlsruhe,,20,@LunaticMax,,0,0,151,,,,,,,,,,,8,1.132450331
Konstanz,Landkreis,8335,69,11%,69,,https://www.lrakn.de/Startseite,"https://www.lrakn.de/,Lde/service-und-verwaltung/aemter/gesundheit+und+versorgung/coronavirus",20/03/2020 23:47:52,69,3,,1,,,,,0,,,0,0,69,,,,,,,,,,,8,1
Lörrach,Landkreis,8336,81,29%,81,,https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona,https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona?skipEntranceUrl,20/03/2020 23:47:52,81,,,,,,,,0,,,0,0,81,,,,,,,,,,,8,1
Ludwigsburg,Landkreis,8118,175,39%,175,,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,20/03/2020 23:47:52,175,,,,,,,,0,,,0,0,175,,,,,,,,,,,8,1
Main-Tauber-Kreis,Landkreis,8128,43,10%,43,,"https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Weiterer-Fall-von-Coronavirus-Infektion-best%C3%A4tigt-Zahlen-17-M%C3%A4rz-.php?object=tx,2894.6&ModID=7&FID=2894.22548.1&NavID=2177.36.1","https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Weiterer-Fall-von-Coronavirus-Infektion-best%C3%A4tigt-Zahlen-17-M%C3%A4rz-.php?object=tx,2894.6&ModID=7&FID=2894.22548.1&NavID=2177.36.1",20/03/2020 23:47:52,43,,,,,,,,0,,,0,0,43,,,,,,,,,,,8,1
Mannheim,Stadtkreis,8222,102,16%,102,,https://www.mannheim.de/de/nachrichten/aktuelle-information-zu-corona-18-03-20,https://www.mannheim.de/de/nachrichten/aktuelle-information-zu-corona-18-03-20,20/03/2020 23:47:51,102,,,,,,,,0,,,0,0,102,,,,,,,,,,,8,1
Neckar-Odenwald-Kreis,Landkreis,8225,30,25%,30,,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,20/03/2020 23:47:51,30,,,,,,,,0,,,0,0,30,,,,,,,,,,,8,1
Ortenaukreis,Landkreis,8317,82,8%,82,,https://www.ortenaukreis.de/corona,https://www.ortenaukreis.de/media/custom/2390_5025_1.PDF?1584455070,20/03/2020 23:47:52,82,,,,1,,,,0,,,0,0,82,,,,,,,,,,,8,1
Ostalbkreis,Landkreis,8136,138,12%,138,,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,20/03/2020 22:04:48,138,,,,,,,,0,,,0,0,138,,,,,,,,,,,8,1
Pforzheim,Stadtkreis,8231,19,73%,19,,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1","https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",20/03/2020 21:05:00,19,,,,,,,,0,,,0,0,19,,,,,,,,,,,8,1
Rastatt,Landkreis,8216,83,20%,96,,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,20/03/2020 23:47:51,96,,,,,21.03.2020 14:18,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,@MKayCedar,13,@Perix,@Stuqa,1,0,83,,,,,,,,,,,8,1.156626506
Ravensburg,Landkreis,8436,110,8%,110,,https://www.rv.de/Startseite,https://www.rv.de/Startseite,20/03/2020 23:47:52,110,5,,,,,,,0,,,0,0,110,,,,,,,,,,,8,1
Rems-Murr-Kreis,Landkreis,8119,117,6%,117,,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,20/03/2020 23:47:52,117,,,,1,,,,0,,,0,0,117,,,,,,,,,,,8,1
Reutlingen,Landkreis,8415,96,35%,96,,https://www.kreis-reutlingen.de/de/Aktuelles/Landkreis-aktuell/Landkreis-aktuell?view=publish&item=article&id=1909,https://www.kreis-reutlingen.de/de/Aktuelles/Landkreis-aktuell/Landkreis-aktuell?view=publish&item=article&id=1909,20/03/2020 13:45:00,96,,,,,,,,0,,,0,0,96,,,,,,,,,,,8,1
Rhein-Neckar-Kreis,Landkreis,8226,182,18%,182,,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",20/03/2020 22:04:48,182,,,,,,,,0,,,0,0,182,,,,,,,,,,,8,1
Rottweil,Landkreis,8325,8,60%,8,,https://www.schwarzwaelder-bote.de/inhalt.kreis-rottweil-erster-corona-todesfall-im-landkreis.9d46442f-7609-4908-b4e8-19c21d3c9cd0.html,https://www.schwarzwaelder-bote.de/inhalt.kreis-rottweil-erster-corona-todesfall-im-landkreis.9d46442f-7609-4908-b4e8-19c21d3c9cd0.html,20/03/2020 14:32:00,8,,,,1,,,,0,,,0,0,8,,,,,,,,,,,8,1
Schwäbisch Hall,Landkreis,8127,98,58%,98,,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,20/03/2020 23:47:52,98,,,,,,,,0,,,0,0,98,,,,,,,,,,,8,1
Schwarzwald-Baar-Kreis,Landkreis,8326,43,8%,43,,"https://www.lrasbk.de/Aktuelles/Neuigkeiten/index.php?object=tx,2961.13152.1&NavID=2961.1467.1","https://www.lrasbk.de/Aktuelles/Neuigkeiten/index.php?object=tx,2961.13152.1&NavID=2961.1467&La=1",20/03/2020 12:00:00,43,,,,,,,,0,,,0,0,43,,,,,,,,,,,8,1
Sigmaringen,Landkreis,8437,74,28%,74,,https://www.landkreis-sigmaringen.de/de/Aktuell/Aktuelle-Meldungen/Aktuelle-Meldung?view=publish&item=article&id=2261,https://www.landkreis-sigmaringen.de/de/Aktuell/Aktuelle-Meldungen/Aktuelle-Meldung?view=publish&item=article&id=2256,20/03/2020 23:47:52,74,,,,1,,,,0,,,0,0,74,,,,,,,,,,,8,1
Stuttgart,Stadtkreis,8111,341,5%,341,,https://www.stuttgart.de/item/show/273273/1/9/689988?plist=homepage,https://www.stuttgart.de/item/show/273273/1/9/689988?plist=homepage,20/03/2020 17:30:00,341,8,1500,,,,,,0,,,0,0,341,,,,,,,,,,,8,1
Tübingen,Landkreis,8416,144,14%,144,,"https://www.gea.de/reutlingen_artikel,-49-f%C3%A4lle-im-kreis-reutlingenrund-um-die-uhr-erreichbarkeit-beim-drk-labore-%C3%BCberlastet-_arid,6241760.html",https://www.kreis-tuebingen.de/Startseite.html,20/03/2020 13:45:00,144,,,,,,,,0,,,0,0,144,,,,,,,,,,,8,1
Tuttlingen,Landkreis,8327,13,30%,13,,"https://www.schwaebische.de/landkreis/landkreis-tuttlingen/tuttlingen_artikel,-weiterer-corona-fall-im-landkreis-tuttlingen-_arid,11201241.html","https://www.schwaebische.de/landkreis/landkreis-tuttlingen/tuttlingen_artikel,-weiterer-corona-fall-im-landkreis-tuttlingen-_arid,11201241.html",20/03/2020 23:47:51,13,,,,,,,,0,,,0,0,13,,,,,,,,,,,8,1
Ulm,Stadtkreis,8421,50,9%,50,,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,20/03/2020 15:30:00,50,,,,,,,,0,,,0,0,50,,,,,,,,,,,8,1
Waldshut,Landkreis,8337,28,40%,28,,https://www.landkreis-waldshut.de/aktuelles/,https://www.landkreis-waldshut.de/aktuelles/,20/03/2020 23:47:52,28,,,,1,,,,0,,,0,0,28,,,,,,,,,,,8,1
Zollernalbkreis,Landkreis,8417,76,9%,76,,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,20/03/2020 23:47:52,76,,,,,,,,0,,,0,0,76,,,,,,,,,,,8,1
Aichach-Friedberg,Landkreis,9771,31,29%,31,24,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,20/03/2020 14:25:00,31,,200,0,,,,,0,,,0,0,31,,,24,19.03.2020 - morgens,https://www.augsburger-allgemeine.de/aichach/Corona-200-Menschen-in-Quarantaene-24-erkrankt-id57095346.html,,,,,,9,1
Altötting,Landkreis,9171,18,20%,18,18,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,20/03/2020 22:04:48,18,,,,,,,,0,,,0,0,18,,,15,21/03/2020 14:28:18,https://www.pnp.de/lokales/landkreis-altoetting/altoetting/Corona-Virus-Aktuell-15-Faelle-im-Landkreis-3640607.html,@Seitl Daniel,,,,,9,1
Amberg,Kreisfreie Stadt,9361,2,0%,2,,https://www.amberg.de/corona,https://www.amberg.de/news/newsdetail/zwei-bestaetigte-corona-faelle-im-stadtgebiet,20/03/2020 14:30:00,2,,,,,,,,0,,,0,0,2,,,,,,,,,,,9,1
Amberg-Sulzbach,Landkreis,9371,18,6%,18,,"https://www.kreis-as.de/Verwaltung-Politik/Aktuelles/Coronavirus/Weiterer-Coronavirus-Fall-im-Amberg-Sulzbacher-Land.php?object=tx,3131.5&ModID=7&FID=3131.4719.1&NavID=3132.84&La=1","https://www.kreis-as.de/Verwaltung-Politik/Aktuelles/Coronavirus/Weiterer-Coronavirus-Fall-im-Amberg-Sulzbacher-Land.php?object=tx,3131.5&ModID=7&FID=3131.4719.1&NavID=3132.84&La=1",20/03/2020 14:27:00,18,,60,,,,,,0,,,0,0,18,,,,,,,,,,,9,1
Ansbach,Kreisfreie Stadt,9561,8,60%,8,,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,20/03/2020 00:00:00,8,,,,,,,,0,,,0,0,5,,,,,,,,,,,9,1
Ansbach,Landkreis,9571,30,131%,30,,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,20/03/2020 00:00:00,30,,,,,,,,0,,,0,0,21,,,,,,,,,,,9,1
Aschaffenburg,Kreisfreie Stadt,9661,20,0%,20,20,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,20/03/2020 14:36:00,20,,,,,,,,0,,,0,0,20,,,,,,,,,,,9,1
Aschaffenburg,Landkreis,9671,31,19%,31,31,https://www.landkreis-aschaffenburg.de/wer-macht-was/gesund-soziales/gesund/corona/,https://www.landkreis-aschaffenburg.de/wer-macht-was/gesund-soziales/gesund/corona/,20/03/2020 14:36:00,31,,,,,,,,0,,,0,0,31,,,,,,,,,,,9,1
Augsburg,Kreisfreie Stadt,9761,43,26%,43,43,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,20/03/2020 09:35:00,43,,,,,,,,0,,,0,0,43,,,,,,,,,,,9,1
Augsburg,Landkreis,9772,54,2%,54,54,https://www.landkreis-augsburg.de/,https://www.landkreis-augsburg.de/,20/03/2020 14:36:00,54,,,,,,,,0,,,0,0,54,,,53,3/19/2020 15:15,https://www.landkreis-augsburg.de/news/detail/coronavirus/,,,,,,9,1
Bad Kissingen,Landkreis,9672,14,40%,14,14,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/aktuelle-meldungen-zum-coronavirus/10775.Vier-weitere-bestaetigte-Coronafaelle-im-Landkreis-Bad-Kissingen.html,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/aktuelle-meldungen-zum-coronavirus/10775.Vier-weitere-bestaetigte-Coronafaelle-im-Landkreis-Bad-Kissingen.html,20/03/2020 17:42:00,14,,,,,,,,0,,,0,0,14,,,,,,,,,,,9,1
Bad Tölz-Wolfratshausen,Landkreis,9173,31,48%,31,31,https://www.lra-toelz.de/ein-weiterer-coronavirus-fall-im-landkreis-bad-toelz-wolfratshausen-am-sonntag-bestaetigt,https://www.lra-toelz.de/ein-weiterer-coronavirus-fall-im-landkreis-bad-toelz-wolfratshausen-am-sonntag-bestaetigt,20/03/2020 14:42:00,31,,,,,,,,0,,,0,0,31,,,,,,,,,,,9,1
Bamberg,Kreisfreie Stadt,9461,26,24%,26,,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1","https://www.landkreis-bamberg.de/Landratsamt/Öffentlichkeitsarbeit/Pressemitteilungen/27-bestätigte-Corona-Infektionen.php?object=tx,2892.5&ModID=7&FID=2892.1846.1&NavID=2892.155.1&La=1",20/03/2020 14:42:00,26,,,,,,,,0,,,0,0,25,,,26,20/03/2020 22:02,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/67-Infizierte-in-Stadt-und-Landkreis-Bamberg.php?object=tx,2892.5&ModID=7&FID=2976.2211.1",@MKayCedar,,,,,9,1
Bamberg,Landkreis,9471,41,0%,41,,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1","https://www.landkreis-bamberg.de/Landratsamt/Öffentlichkeitsarbeit/Pressemitteilungen/27-bestätigte-Corona-Infektionen.php?object=tx,2892.5&ModID=7&FID=2892.1846.1&NavID=2892.155.1&La=1",20/03/2020 14:42:00,41,,,,,,,,0,,,0,0,41,,,,,,,,,,,9,1
Bayreuth,Kreisfreie Stadt,9462,2,-71%,2,,https://www.bayreuth.de/rathaus-buergerservice/leben-in-bayreuth/notfaelle-gesundheit/notfaelle-gesundheit/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,20/03/2020 21:09:00,2,,,,,,,,0,,,0,0,2,,,,,,,,,,,9,1
Bayreuth,Landkreis,9472,26,100%,26,13,https://www.landkreis-bayreuth.de/umwelt-gesundheit/coronavirus-wir-informieren/allgemeine-informationen/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,20/03/2020 14:46:00,26,,,,,,,,0,,,0,0,26,,,,,,,,,,,9,1
Berchtesgadener Land,Landkreis,9172,25,32%,25,25,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,20/03/2020 14:46:00,25,,223,,,,,,0,,,0,0,25,,,,,,,,,,,9,1
Cham,Landkreis,9372,40,29%,40,40,https://www.landkreis-cham.de/aktuelles-nachrichten/coronavirus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,20/03/2020 14:46:00,40,,,,,,,,0,,,0,0,40,,,,,,,,,,,9,1
