"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 21.03 00:00,Änderungsrate (24 Std. bis 21.03 00:00),Coronavirus Fälle heute (verifiziert),CV-Fälle Tagespiegel Verifizierung,Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),"Coronavirus Fälle heute (verifiziert, blockiert) 23:25","Coronavirus Todesfälle heute (verifiziert, blockiert)",Todesfall Quelle,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Lüchow-Dannenberg,Landkreis,3354,6,500%,6,,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,20/03/2020 22:04:48,6,,3,,,,,,0,,,0,0,6,,,,,,,,,,,3,1
Lüneburg,Landkreis,3355,53,18%,53,53,https://www.landkreis-lueneburg.de/,https://twitter.com/lk_lueneburg/status/1240240976221831173?s=20,20/03/2020 22:04:48,53,,,,,,,,0,,,0,0,53,,,,,,,,,,,3,1
Nienburg (Weser),Landkreis,3256,15,88%,15,,https://www.niedersachsen.de/Coronavirus,https://www.niedersachsen.de/Coronavirus,20/03/2020 19:59:10,15,,118,,,,,,0,,,0,0,15,,,,,,,,,,,3,1
Northeim,Landkreis,3155,17,31%,17,17,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,20/03/2020 16:20:00,17,,,,,,,,0,,,0,0,17,,,,,,,,,,,3,1
Oldenburg,Landkreis,3458,15,25%,15,,https://www.oldenburg-kreis.de/portal/startseite.html,https://www.oldenburg-kreis.de/portal/startseite.html,20/03/2020 22:00:00,15,,,,,,,,0,,,0,0,15,,,,,,,,,,,3,1
Oldenburg (Oldb),Kreisfreie Stadt,3403,31,3%,31,,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,20/03/2020 22:04:48,31,,,,,,,,0,,,0,0,31,,,,,,,,,,,3,1
Osnabrück,Kreisfreie Stadt,3404,101,22%,108,,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,20/03/2020 22:04:48,108,,298,,,21/03/2020 11:29:00,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,@Schnitzel,7,@Perix,@Stuqa,1,0,101,,,,,,,,,,,3,1.069306931
Osnabrück,Landkreis,3459,91,23%,107,,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,20/03/2020 22:04:48,107,,566,,,21/03/2020 11:29:00,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,@Schnitzel,16,@Perix,@Stuqa,1,0,91,,,,,,,,,,,3,1.175824176
Osterholz,Landkreis,3356,24,9%,24,,https://www.landkreis-osterholz.de/portal/meldungen/aktuelle-informationen-zum-coronavirus-901005017-21000.html?rubrik=901000012,https://www.landkreis-osterholz.de/portal/meldungen/landkreis-gibt-nochmals-allgemeine-hinweise-zum-umgang-mit-dem-coronavirus-901005077-21000.html?rubrik=901000054,20/03/2020 19:51:15,24,,90,,,,,,0,,,0,0,24,,,,,,,,,,,3,1
Peine,Landkreis,3157,15,36%,15,,"https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1","https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1",20/03/2020 22:00:00,15,,,,,,,,0,,,0,0,15,,,,,,,,,,,3,1
