"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Hildesheim,Landkreis,3254,84,27%,84,https://www.landkreishildesheim.de/,"https://www.landkreishildesheim.de/-Landkreis-Aktuelle-Zahlen-zum-Coronavirus.php?object=tx,2829.5&ModID=7&mobile=off&FID=2829.3127.1",#############,84,,310,,,,,,0,,,0,0,,,,,,,,,3,1
Holzminden,Landkreis,3255,19,36%,19,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,19/03/2020 23:59:00,19,,,,,,,,0,,,0,0,,,,,,,,,3,1
Leer,Landkreis,3457,12,20%,12,https://www.landkreis-leer.de/,https://www.landkreis-leer.de/Leben-Lernen/Coronavirus,19/03/2020 23:59:00,12,,,,,,,,0,,,0,0,,,,,,,,,3,1
Lüchow-Dannenberg,Landkreis,3354,1,NEU,1,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,19/03/2020 23:59:00,1,,,,,,,,0,,,0,0,,,,,,,,,3,1
Lüneburg,Landkreis,3355,45,7%,45,https://www.landkreis-lueneburg.de/,https://twitter.com/lk_lueneburg/status/1240240976221831173?s=20,19/03/2020 23:59:00,45,,,,,,,,0,,,0,0,,,,,,,,,3,1
Nienburg (Weser),Landkreis,3256,8,33%,8,https://www.niedersachsen.de/Coronavirus,https://www.niedersachsen.de/Coronavirus,19/03/2020 14:00:00,8,,,,,,,,0,,,0,0,,,,,,,,,3,1
Northeim,Landkreis,3155,13,86%,13,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,19/03/2020 23:59:00,13,,,,,,,,0,,,0,0,,,,,,,,,3,1
Oldenburg,Landkreis,3458,12,33%,12,https://www.oldenburg-kreis.de/portal/startseite.html,https://www.oldenburg-kreis.de/portal/startseite.html,19/03/2020 16:40:00,12,,,,,,,,0,,,0,0,,,,,,,,,3,1
Oldenburg (Oldb),Kreisfreie Stadt,3403,30,15%,30,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,19/03/2020 23:59:00,30,,,,,,,,0,,,0,0,,,,,,,,,3,1
Osnabrück,Kreisfreie Stadt,3404,83,34%,83,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,https://www.landkreis-osnabrueck.de/sites/default/files/pdf_dateien/2020-03-18_dashboard_corona_1200.pdf,19/03/2020 22:15:00,83,,,,,,,,0,,,0,0,,,,,,,,,3,1
