"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,,,HIER BITTE ANFANGEN,,,,,,,,,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,3. Offiziell Kreis oder Landesebene Gesundheitsamt Webseite,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,4. Städte innerhalb Kreise trennen und sollten richtig zusammenaddieren. z.B Oberallgäu und Kempten.,,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,,
GEN,BEZ,AGS,Coronavirus Fälle bis 20.03 00:00,Änderungsrate (24 Std.),Coronavirus Fälle heute (verifiziert),Quelle 1,"Quelle 2,3,4...",Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder Offiziell sein)",Contributor,NEU,Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,Risklayer Geprüft (Tagesende),Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,,
Konstanz,Landkreis,8335,62,38%,62,https://www.lrakn.de/Startseite,"https://www.lrakn.de/,Lde/service-und-verwaltung/aemter/gesundheit+und+versorgung/coronavirus",19/03/2020 20:57:00,62,1,,,,,,,0,,,0,0,,,,,,,,,8,1
Lörrach,Landkreis,8336,63,29%,63,https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona,https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona?skipEntranceUrl,19/03/2020 23:59:00,63,,,,,,,,0,,,0,0,,,,,,,,,8,1
Ludwigsburg,Landkreis,8118,126,13%,126,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,19/03/2020 23:59:00,126,,,,,,,,0,,,0,0,,,,,,,,,8,1
Main-Tauber-Kreis,Landkreis,8128,39,8%,39,"https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Weiterer-Fall-von-Coronavirus-Infektion-best%C3%A4tigt-Zahlen-17-M%C3%A4rz-.php?object=tx,2894.6&ModID=7&FID=2894.22548.1&NavID=2177.36.1","https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Weiterer-Fall-von-Coronavirus-Infektion-best%C3%A4tigt-Zahlen-17-M%C3%A4rz-.php?object=tx,2894.6&ModID=7&FID=2894.22548.1&NavID=2177.36.1",19/03/2020 18:00:00,39,,,,,,,,0,,,0,0,,,,,,,,,8,1
Mannheim,Stadtkreis,8222,88,11%,88,https://www.mannheim.de/de/nachrichten/aktuelle-information-zu-corona-18-03-20,https://www.mannheim.de/de/nachrichten/aktuelle-information-zu-corona-18-03-20,19/03/2020 23:59:00,88,,,,,,,,0,,,0,0,,,,,,,,,8,1
Neckar-Odenwald-Kreis,Landkreis,8225,24,26%,24,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,19/03/2020 23:59:00,24,,,,,,,,0,,,0,0,,,,,,,,,8,1
Ortenaukreis,Landkreis,8317,76,27%,76,https://www.ortenaukreis.de/corona,https://www.ortenaukreis.de/media/custom/2390_5025_1.PDF?1584455070,19/03/2020 23:59:00,76,,,,1,,,,0,,,0,0,,,,,,,,,8,1
Ostalbkreis,Landkreis,8136,123,13%,123,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,19/03/2020 23:59:00,123,,,,,,,,0,,,0,0,,,,,,,,,8,1
Pforzheim,Stadtkreis,8231,11,57%,11,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1","https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",19/03/2020 23:59:00,11,,,,,,,,0,,,0,0,,,,,,,,,8,1
Rastatt,Landkreis,8216,69,19%,69,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,19/03/2020 16:40:00,69,,,,,,,,0,,,0,0,,,,,,,,,8,1
Ravensburg,Landkreis,8436,102,10%,102,https://www.rv.de/Startseite,https://www.rv.de/Startseite,19/03/2020 23:59:00,102,,,,,,,,0,,,0,0,,,,,,,,,8,1
Rems-Murr-Kreis,Landkreis,8119,110,62%,110,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,19/03/2020 23:59:00,110,,,,1,,,,0,,,0,0,,,,,,,,,8,1
Reutlingen,Landkreis,8415,71,45%,71,https://www.kreis-reutlingen.de/de/Aktuelles/Landkreis-aktuell/Landkreis-aktuell?view=publish&item=article&id=1909,https://www.kreis-reutlingen.de/de/Aktuelles/Landkreis-aktuell/Landkreis-aktuell?view=publish&item=article&id=1909,19/03/2020 23:59:00,71,,,,,,,,0,,,0,0,,,,,,,,,8,1
Rhein-Neckar-Kreis,Landkreis,8226,154,21%,154,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",19.03.2020 15:40,154,,,,,,,,0,,,0,0,,,,,,,,,8,1
Rottweil,Landkreis,8325,5,0%,5,https://www.schwarzwaelder-bote.de/inhalt.kreis-rottweil-erster-corona-todesfall-im-landkreis.9d46442f-7609-4908-b4e8-19c21d3c9cd0.html,https://www.schwarzwaelder-bote.de/inhalt.kreis-rottweil-erster-corona-todesfall-im-landkreis.9d46442f-7609-4908-b4e8-19c21d3c9cd0.html,19/03/2020 23:59:00,5,,,,1,,,,0,,,0,0,,,,,,,,,8,1
Schwäbisch Hall,Landkreis,8127,62,0%,62,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,19/03/2020 23:59:00,62,,,,,,,,0,,,0,0,,,,,,,,,8,1
Schwarzwald-Baar-Kreis,Landkreis,8326,40,38%,40,"https://www.lrasbk.de/Aktuelles/Neuigkeiten/index.php?object=tx,2961.13152.1&NavID=2961.1467.1","https://www.lrasbk.de/Aktuelles/Neuigkeiten/index.php?object=tx,2961.13152.1&NavID=2961.1467&La=1",19.03.2020 – 13 UHR,40,,,,,,,,0,,,0,0,,,,,,,,,8,1
Sigmaringen,Landkreis,8437,58,21%,58,https://www.landkreis-sigmaringen.de/de/Aktuell/Aktuelle-Meldungen/Aktuelle-Meldung?view=publish&item=article&id=2261,https://www.landkreis-sigmaringen.de/de/Aktuell/Aktuelle-Meldungen/Aktuelle-Meldung?view=publish&item=article&id=2256,19/03/2020 17:27:00,58,,,,1,,,,0,,,0,0,,,,,,,,,8,1
Stuttgart,Stadtkreis,8111,324,14%,324,https://www.stuttgart.de/item/show/273273/1/9/689988?plist=homepage,https://www.stuttgart.de/item/show/273273/1/9/689988?plist=homepage,18/03/2020 18:00:00,324,,,,,,,,0,,,0,0,,,,,,,,,8,1
Tübingen,Landkreis,8416,126,12%,126,"https://www.gea.de/reutlingen_artikel,-49-f%C3%A4lle-im-kreis-reutlingenrund-um-die-uhr-erreichbarkeit-beim-drk-labore-%C3%BCberlastet-_arid,6241760.html",https://www.kreis-tuebingen.de/Startseite.html,19/03/2020 23:59:00,126,,,,,,,,0,,,0,0,,,,,,,,,8,1
Tuttlingen,Landkreis,8327,10,43%,10,"https://www.schwaebische.de/landkreis/landkreis-tuttlingen/tuttlingen_artikel,-weiterer-corona-fall-im-landkreis-tuttlingen-_arid,11201241.html","https://www.schwaebische.de/landkreis/landkreis-tuttlingen/tuttlingen_artikel,-weiterer-corona-fall-im-landkreis-tuttlingen-_arid,11201241.html",19/03/2020 23:59:00,10,,,,,,,,0,,,0,0,,,,,,,,,8,1
Ulm,Stadtkreis,8421,46,39%,46,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,19/03/2020 16:40:00,46,,,,,,,,0,,,0,0,,,,,,,,,8,1
Waldshut,Landkreis,8337,20,18%,20,https://www.landkreis-waldshut.de/aktuelles/,https://www.landkreis-waldshut.de/aktuelles/,19/03/2020 23:59:00,20,,,,,,,,0,,,0,0,,,,,,,,,8,1
Zollernalbkreis,Landkreis,8417,70,17%,70,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,19/03/2020 16:40:00,70,,,,,,,,0,,,0,0,,,,,,,,,8,1
Aichach-Friedberg,Landkreis,9771,24,50%,24,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,19/03/2020 16:56:00,24,,200,0,,,,,0,,,0,0,24,19.03.2020 - morgens,https://www.augsburger-allgemeine.de/aichach/Corona-200-Menschen-in-Quarantaene-24-erkrankt-id57095346.html,,,,,,9,1
Altötting,Landkreis,9171,15,114%,18,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,19/03/2020 13:17:00,18,,,,,20.03.2020 8:53,https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert,@SeitlDaniel,3,@Jens,@JamesEDaniell,1,0,15,20/03/2020 11:53:08,https://www.pnp.de/lokales/landkreis-altoetting/altoetting/Corona-Virus-Aktuell-15-Faelle-im-Landkreis-3640607.html,@Seitl Daniel,,,,,9,1.2
Amberg,Kreisfreie Stadt,9361,2,0%,2,https://www.amberg.de/corona,https://www.amberg.de/news/newsdetail/zwei-bestaetigte-corona-faelle-im-stadtgebiet,19/03/2020 13:17:00,2,,,,,,,,0,,,0,0,,,,,,,,,9,1
Amberg-Sulzbach,Landkreis,9371,17,13%,17,"https://www.kreis-as.de/Verwaltung-Politik/Aktuelles/Coronavirus/Weiterer-Coronavirus-Fall-im-Amberg-Sulzbacher-Land.php?object=tx,3131.5&ModID=7&FID=3131.4719.1&NavID=3132.84&La=1","https://www.kreis-as.de/Verwaltung-Politik/Aktuelles/Coronavirus/Weiterer-Coronavirus-Fall-im-Amberg-Sulzbacher-Land.php?object=tx,3131.5&ModID=7&FID=3131.4719.1&NavID=3132.84&La=1",19/03/2020 12:20:00,17,,60,,,,,,0,,,0,0,,,,,,,,,9,1
Ansbach,Kreisfreie Stadt,9561,5,400%,5,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,19/03/2020 16:00:00,5,,,,,,,,0,,,0,0,,,,,,,,,9,1
Ansbach,Landkreis,9571,13,333%,13,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,19/03/2020 16:00:00,26,,,,,,,,13,,,0,0,,,,,,,,,9,2
Aschaffenburg,Kreisfreie Stadt,9661,20,-23%,20,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,19/03/2020 23:59:00,20,,,,,,,,0,,,0,0,,,,,,,,,9,1
Aschaffenburg,Landkreis,9671,26,13%,26,https://www.landkreis-aschaffenburg.de/wer-macht-was/gesund-soziales/gesund/corona/,https://www.landkreis-aschaffenburg.de/wer-macht-was/gesund-soziales/gesund/corona/,19/03/2020 13:25:00,26,,,,,,,,0,,,0,0,,,,,,,,,9,1
Augsburg,Kreisfreie Stadt,9761,34,13%,34,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,19/03/2020 13:28:00,43,,,,,20/03/2020 08:53:00,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,@JamesEDaniell,9,,,0,0,,,,,,,,,9,1.264705882
Augsburg,Landkreis,9772,53,29%,53,https://www.landkreis-augsburg.de/,https://www.landkreis-augsburg.de/,19/03/2020 13:28:00,53,,,,,,,,0,,,0,0,53,3/19/2020 15:15,https://www.landkreis-augsburg.de/news/detail/coronavirus/,,,,,,9,1
Bad Kissingen,Landkreis,9672,10,11%,10,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/aktuelle-meldungen-zum-coronavirus/10775.Vier-weitere-bestaetigte-Coronafaelle-im-Landkreis-Bad-Kissingen.html,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/aktuelle-meldungen-zum-coronavirus/10775.Vier-weitere-bestaetigte-Coronafaelle-im-Landkreis-Bad-Kissingen.html,19/03/2020 13:32:00,10,,,,,,,,0,,,0,0,,,,,,,,,9,1
Bad Tölz-Wolfratshausen,Landkreis,9173,21,91%,21,https://www.lra-toelz.de/ein-weiterer-coronavirus-fall-im-landkreis-bad-toelz-wolfratshausen-am-sonntag-bestaetigt,https://www.lra-toelz.de/ein-weiterer-coronavirus-fall-im-landkreis-bad-toelz-wolfratshausen-am-sonntag-bestaetigt,19/03/2020 13:33:00,21,,,,,,,,0,,,0,0,,,,,,,,,9,1
Bamberg,Kreisfreie Stadt,9461,21,91%,21,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1","https://www.landkreis-bamberg.de/Landratsamt/Öffentlichkeitsarbeit/Pressemitteilungen/27-bestätigte-Corona-Infektionen.php?object=tx,2892.5&ModID=7&FID=2892.1846.1&NavID=2892.155.1&La=1",19/03/2020 13:35:00,21,,,,,,,,0,,,0,0,,,,,,,,,9,1
Bamberg,Landkreis,9471,41,156%,41,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1","https://www.landkreis-bamberg.de/Landratsamt/Öffentlichkeitsarbeit/Pressemitteilungen/27-bestätigte-Corona-Infektionen.php?object=tx,2892.5&ModID=7&FID=2892.1846.1&NavID=2892.155.1&La=1",19/03/2020 13:35:00,41,,,,,,,,0,,,0,0,,,,,,,,,9,1
Bayreuth,Kreisfreie Stadt,9462,7,133%,7,https://www.bayreuth.de/rathaus-buergerservice/leben-in-bayreuth/notfaelle-gesundheit/notfaelle-gesundheit/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,19/03/2020 20:30:00,7,,,,,,,,0,,,0,0,,,,,,,,,9,1
Bayreuth,Landkreis,9472,13,44%,13,https://www.landkreis-bayreuth.de/umwelt-gesundheit/coronavirus-wir-informieren/allgemeine-informationen/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,19/03/2020 20:30:00,13,,,,,,,,0,,,0,0,,,,,,,,,9,1
Berchtesgadener Land,Landkreis,9172,19,46%,19,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,19/03/2020 20:30:00,19,,197,,,,,,0,,,0,0,,,,,,,,,9,1
Cham,Landkreis,9372,31,7%,31,https://www.landkreis-cham.de/aktuelles-nachrichten/coronavirus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 13:41:00,31,,,,,,,,0,,,0,0,,,,,,,,,9,1
Coburg,Kreisfreie Stadt,9463,3,0%,3,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,19/03/2020 13:42:00,3,,,,,,,,0,,,0,0,,,,,,,,,9,1
Coburg,Landkreis,9473,13,30%,13,https://www.landkreis-coburg.de/2506-0-Coronavirus-Aktueller-Stand-der-Corona-Virus-Infektionen-in-Stadt-und-Landkreis-Coburg.html,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,19/03/2020 18:32:00,13,,,,,,,,0,,,0,0,,,,,,,,,9,1
Dachau,Landkreis,9174,55,57%,55,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/aktuelle-lage-zum-coronavirus-im-landkreis-dachau-stand-16032020-1830-uhr/,https://www.landratsamt-dachau.de/gesundheit-veterinaerwesen-sicherheitsrecht/gesundheit/infektionsschutz-infektionskrankheiten-umweltmedizin/coronavirus/,19/03/2020 23:59:00,55,,,,,,,,0,,,0,0,,,,,,,,,9,1
Deggendorf,Landkreis,9271,27,23%,27,https://www.landkreis-deggendorf.de/aktuelles/aus-dem-landkreis/info-coronavirus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 19:22:00,27,,,,,,,,0,,,0,0,,,,,,,,,9,1
Dillingen a.d. Donau,Landkreis,9773,1,0%,1,https://alp.dillingen.de/aktuelles/beitrag/informationen-zum-corona-virus-covid-19/,https://www.landkreis-dillingen.de/erster-bestaetigter-covid-19-fall-im-landkreis-dillingen,19/03/2020 13:49:00,1,,36,,,,,,0,,,0,0,,,,,,,,,9,1
Dingolfing-Landau,Landkreis,9279,18,6%,18,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,19/03/2020 13:50:00,18,,,,,,,,0,,,0,0,,,,,,,,,9,1
Donau-Ries,Landkreis,9779,16,60%,16,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,19/03/2020 15:51:00,16,,,,,,,,0,,,0,0,16,19.03.2020 - 16:00,https://www.augsburger-allgemeine.de/donauwoerth/Corona-16-Infizierte-im-Landkreis-Donau-Ries-id57096441.html,,,,,,9,1
Ebersberg,Landkreis,9175,39,15%,39,https://lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-14-maerz-2020/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 13:53:00,39,,141,,,,,,0,,,0,0,,,,,,,,,9,1
Eichstätt,Landkreis,9176,6,0%,6,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/weiterer-bestaetigter-fall-von-covid-19-im-landkreis-eichstaett/,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/weiterer-bestaetigter-fall-von-covid-19-im-landkreis-eichstaett/,19/03/2020 13:54:00,6,,50,,,,,,0,,,0,0,,,,,,,,,9,1
Erding,Landkreis,9177,54,74%,54,https://www.lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-stand-16-maerz-2020/,https://www.lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-stand-16-maerz-2020/,19/03/2020 22:00:00,54,,,,,,,,0,,,0,0,,,,,,,,,9,1
Erlangen,Kreisfreie Stadt,9562,13,-19%,13,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,19/03/2020 23:59:00,13,,,,,,,,0,,,0,0,,,,,,,,,9,1
Erlangen-Höchstadt,Landkreis,9572,14,56%,14,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,19/03/2020 23:59:00,14,,,,,,,,0,,,0,0,,,,,,,,,9,1
Forchheim,Landkreis,9474,14,75%,14,https://lra-fo.de/site/1_home/Pressemitteilungen.php,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 13:59:00,14,,,,,,,,0,,,0,0,,,,,,,,,9,1
Freising,Landkreis,9178,145,19%,145,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1,19/03/2020 14:01:00,145,,,,2,,,,0,,,0,0,,,,,,,,,9,1
Freyung-Grafenau,Landkreis,9272,14,75%,14,https://www.freyung-grafenau.de/verwaltung-und-politik/pressemeldungen/details/news/weiterer-corona-fall-im-landkreis/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=22276fde70261e9d5af6f104f9dcf2b3,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 14:02:00,14,,,,,,,,0,,,0,0,,,,,,,,,9,1
Fürstenfeldbruck,Landkreis,9179,24,4%,24,https://www.lra-ffb.de/amt-service/veroeffentlichungen/pressemitteilungen/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 14:03:00,24,,,,,,,,0,,,0,0,,,,,,,,,9,1
Fürth,Kreisfreie Stadt,9563,12,20%,12,https://www.fuerth.de/Home/oeffentliches-leben-weiter-eingeschraenkt.aspx,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 14:03:00,12,,,,,,,,0,,,0,0,,,,,,,,,9,1
Fürth,Landkreis,9573,4,33%,4,https://www.landkreis-fuerth.de/corona.html,https://www.landkreis-fuerth.de/corona.html,19/03/2020 14:03:00,4,,,,,,,,0,,,0,0,,,,,,,,,9,1
Garmisch-Partenkirchen,Landkreis,9180,20,0%,20,https://www.lra-gap.de/de/,https://www.lra-gap.de/de/coronavirus.html,19/03/2020 14:03:00,20,,,,,,,,0,,,0,0,,,,,,,,,9,1
Günzburg,Landkreis,9774,11,267%,11,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19,19/03/2020 14:05:00,11,,,,,,,,0,,,0,0,,,,,,,,,9,1
Haßberge,Landkreis,9674,9,0%,9,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1646&cHash=5982f2a8fbd8823ef0de98fc8f1d2a37,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1646&cHash=5982f2a8fbd8823ef0de98fc8f1d2a37,19/03/2020 14:07:00,9,,,,,,,,0,,,0,0,,,,,,,,,9,1
Hof,Kreisfreie Stadt,9464,9,80%,9,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,19/03/2020 14:09:00,9,,,,,,,,0,,,0,0,,,,,,,,,9,1
Hof,Landkreis,9475,13,86%,13,https://www.landkreis-hof.de/coronavirus-wir-informieren/,https://www.landkreis-hof.de/coronavirus-wir-informieren/,19/03/2020 23:59:00,13,,,,,,,,0,,,0,0,,,,,,,,,9,1
Ingolstadt,Kreisfreie Stadt,9161,4,33%,4,"https://www.ingolstadt.de/Home/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0&&NavID=2789.411.1","https://www.ingolstadt.de/Home/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0&&NavID=2789.411.1",19/03/2020 16:00:00,4,1,,,,,,,0,,,0,0,4,20/03/2020 11:53:08,x,@MKayCedar,,,,,9,1
Kaufbeuren,Kreisfreie Stadt,9762,5,0%,5,https://www.landkreis-ostallgaeu.de/aktuelles.html,https://www.landkreis-ostallgaeu.de/aktuelles.html,19/03/2020 23:59:00,5,,,,,,,,0,,,0,0,,,,,,,,,9,1
Kelheim,Landkreis,9273,22,57%,22,https://www.landkreis-kelheim.de/amt-service/coronavirus/,https://www.landkreis-kelheim.de/amt-service/coronavirus/,19/03/2020 20:57:00,22,,132,,,,,,0,,,0,0,,,,,,,,,9,1
Kempten (Allgäu),Kreisfreie Stadt,9763,7,40%,7,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,19/03/2020 23:59:00,7,,,,,,,,0,,,0,0,,,,,,,,,9,1
